"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"36",14828.4385322385,"F",12,"adult","yes",3931,0.5,0.06,92.45,983.59404,0.341396119405354,10.0815,491.61041194371,5.7915,4956.17036801052,0.598603880594646,855.93958805629,4957.174124228
"37",17315.0752907664,"M",12,"adult","no",0,0.68,0.24,345.6,5711.24736,0.424070149650075,12.6893,610.661015496108,7.9677,7748.86082393476,0.335929850349925,483.738984503892,3854.28710683166
"38",11956.653912433,"F",13,"adult","no",0,0.4,0.09,125.28,1344.8808,0.483567630613938,10.0909,696.337388084071,5.7969,7026.67094941755,0.426432369386062,618.382611915929,3584.70216301545
"39",14840.9396759536,"F",13,"adult","yes",3931,0.4,0.06,92.45,984.511144,0.34179086078663,10.0909,492.178839532747,5.7969,4966.527451841,0.59820913921337,855.371160467253,4958.50108011262
"40",17335.9582878647,"M",13,"adult","no",0,0.44,0.24,345.6,5717.05344,0.424587501390641,12.7022,611.406002002524,7.9758,7766.20131863646,0.335412498609359,482.993997997476,3852.26352922827
"41",11971.4395164767,"F",14,"adult","no",0,0.33,0.09,125.28,1346.1336,0.484168356806249,10.1003,697.202433800999,5.8023,7041.95374212023,0.425831643193751,617.517566199001,3583.02217435646
"42",14853.4764601174,"F",14,"adult","yes",3931,0.33,0.06,92.45,985.428248,0.342185778772651,10.1003,492.747521432618,5.8023,4976.89779072587,0.597814221227349,854.802478567382,4959.82042139152
"43",17349.8950546536,"M",14,"adult","no",0,0.29,0.24,345.6,5720.92416,0.424932519348238,12.7108,611.902827861462,7.9812,7777.77446438147,0.335067480651763,482.497172138538,3850.9064302721
"44",11986.2443522971,"F",15,"adult","no",0,0.27,0.09,125.28,1347.3864,0.48476945611491,10.1097,698.06801680547,5.8077,7057.25822949826,0.42523054388509,616.65198319453,3581.32972279887
"45",14866.0288885159,"F",15,"adult","yes",3931,0.27,0.06,92.45,986.345352,0.342580873481963,10.1097,493.316457814027,5.8077,4987.28139356247,0.597419126518037,854.233542185973,4961.13214295347
"46",17356.8398692464,"M",15,"adult","no",0,0.19,0.24,345.6,5722.85952,0.425105063380441,12.7151,612.151291267835,7.9839,7783.56488359965,0.334894936619559,482.248708732165,3850.22546564673
"47",11993.6402348118,"F",16,"adult","no",0,0.23,0.09,125.28,1348.0128,0.485070145796519,10.1144,698.501009946987,5.8104,7064.9186150078,0.424929854203481,616.218990053013,3580.47881980403
